DATE,Men,Women
2020-02-01,0,0
2020-03-01,-1.017147848,-0.9646882819
2020-04-01,-4.446717543,-5.410250458
2020-05-01,-3.572085325,-4.141195285
2020-06-01,-2.772158882,-2.839897857
2020-07-01,-2.844566017,-2.838608166
2020-08-01,-1.945798088,-2.598725786
2020-09-01,-2.035445017,-3.39446465
